grille_id,referentiel_id,epreuve,competence_code,competence,famille,critique,niveau_code,niveau_libelle,note_min,note_max,indicateur
GR_AA0DE565,RNCP38762,EP1,CHO1.1,Tempérage et travail du chocolat,Technique,0,DEB,Débutant,0,4.5,"Tempérage absent ou incorrect, chocolat terne ou blanchâtre"
GR_536CE90B,RNCP38762,EP1,CHO1.1,Tempérage et travail du chocolat,Technique,0,EXE,Exécution,5,9.5,"Tempérage réalisé, courbe approximative"
GR_9D2A44D6,RNCP38762,EP1,CHO1.1,Tempérage et travail du chocolat,Technique,0,OPE,Opérationnel,10,14.5,"Tempérage correct, brillance et cassant conformes"
GR_ECBDFEAF,RNCP38762,EP1,CHO1.1,Tempérage et travail du chocolat,Technique,0,EXC,Excellent,15,20.0,"Maîtrise parfaite, brillance exceptionnelle, adaptations selon les chocolats"
GR_4FA82011,RNCP38762,EP1,CHO1.2,Réaliser bonbons moulés et enrobés,Technique,0,DEB,Débutant,0,4.5,"Bonbons non conformes, coulures ou bulles importantes"
GR_73E8555A,RNCP38762,EP1,CHO1.2,Réaliser bonbons moulés et enrobés,Technique,0,EXE,Exécution,5,9.5,"Bonbons réalisés, épaisseur ou régularité perfectibles"
GR_4D2656E1,RNCP38762,EP1,CHO1.2,Réaliser bonbons moulés et enrobés,Technique,0,OPE,Opérationnel,10,14.5,"Bonbons conformes, épaisseur régulière, aspect commercial"
GR_10EB9D7C,RNCP38762,EP1,CHO1.2,Réaliser bonbons moulés et enrobés,Technique,0,EXC,Excellent,15,20.0,"Bonbons de niveau artisanal supérieur, régularité et brillance parfaites"
GR_69F5C00F,RNCP38762,EP1,CHO1.3,Fabriquer ganaches et intérieurs de qualité,Technique,0,DEB,Débutant,0,4.5,"Ganaches non conformes, émulsion ratée ou saveurs déséquilibrées"
GR_46719F13,RNCP38762,EP1,CHO1.3,Fabriquer ganaches et intérieurs de qualité,Technique,0,EXE,Exécution,5,9.5,"Ganaches réalisées, texture ou goût perfectibles"
GR_6B3A9700,RNCP38762,EP1,CHO1.3,Fabriquer ganaches et intérieurs de qualité,Technique,0,OPE,Opérationnel,10,14.5,"Ganaches conformes, bonne émulsion, saveurs équilibrées"
GR_20995860,RNCP38762,EP1,CHO1.3,Fabriquer ganaches et intérieurs de qualité,Technique,0,EXC,Excellent,15,20.0,"Ganaches d'exception, complexité aromatique maîtrisée, texture parfaite"
GR_E4D2901E,RNCP38762,EP1,CHO1.4,Hygiène spécifique chocolaterie (CRITIQUE),Hygiène,1,DEB,Débutant,0,4.5,"BLOQUANT — Contaminations, températures non contrôlées"
GR_0FCC2313,RNCP38762,EP1,CHO1.4,Hygiène spécifique chocolaterie (CRITIQUE),Hygiène,1,EXE,Exécution,5,9.5,"Hygiène partielle, quelques non-conformités"
GR_1955ED97,RNCP38762,EP1,CHO1.4,Hygiène spécifique chocolaterie (CRITIQUE),Hygiène,1,OPE,Opérationnel,10,14.5,"Hygiène conforme, températures maîtrisées"
GR_943B67E2,RNCP38762,EP1,CHO1.4,Hygiène spécifique chocolaterie (CRITIQUE),Hygiène,1,EXC,Excellent,15,20.0,"Hygiène irréprochable, contaminations croisées nulles, HACCP intégré"
GR_4B1A915A,RNCP38762,EP1,CHO1.5,Produire décors artistiques en chocolat,Technique,0,DEB,Débutant,0,4.5,Décors absents ou ne tiennent pas
GR_87BE82F4,RNCP38762,EP1,CHO1.5,Produire décors artistiques en chocolat,Technique,0,EXE,Exécution,5,9.5,Décors présents mais manquent de précision ou de régularité
GR_A5807B94,RNCP38762,EP1,CHO1.5,Produire décors artistiques en chocolat,Technique,0,OPE,Opérationnel,10,14.5,"Décors soignés, réguliers, valorisants"
GR_50A8A8DE,RNCP38762,EP1,CHO1.5,Produire décors artistiques en chocolat,Technique,0,EXC,Excellent,15,20.0,"Décors de niveau concours, créativité et précision exemplaires"
GR_004AEE3B,RNCP38762,EP2,CHO3.1,Organiser et planifier la production,Organisation,0,DEB,Débutant,0,4.5,"Aucune organisation, production désordonnée"
GR_25481C44,RNCP38762,EP2,CHO3.1,Organiser et planifier la production,Organisation,0,EXE,Exécution,5,9.5,"Organisation partielle, timing non respecté"
GR_C2B42651,RNCP38762,EP2,CHO3.1,Organiser et planifier la production,Organisation,0,OPE,Opérationnel,10,14.5,"Production organisée, planning respecté"
GR_7B1D2BBD,RNCP38762,EP2,CHO3.1,Organiser et planifier la production,Organisation,0,EXC,Excellent,15,20.0,"Planning optimal, anticipation des contraintes thermiques, aucune perte"
GR_C9568C63,RNCP38762,EP2,CHO3.2,Sélectionner et doser les matières premières,Technique,0,DEB,Débutant,0,4.5,"Sélection incorrecte, dosages erronés"
GR_9F419D7A,RNCP38762,EP2,CHO3.2,Sélectionner et doser les matières premières,Technique,0,EXE,Exécution,5,9.5,"Sélection globalement correcte, quelques imprécisions"
GR_0891D583,RNCP38762,EP2,CHO3.2,Sélectionner et doser les matières premières,Technique,0,OPE,Opérationnel,10,14.5,"Sélection pertinente, dosages précis"
GR_98EF9886,RNCP38762,EP2,CHO3.2,Sélectionner et doser les matières premières,Technique,0,EXC,Excellent,15,20.0,"Expertise complète, optimisation aromatique, sourcing qualité"
GR_AAD0478E,RNCP38762,EP2,CHO3.3,Présenter et conditionner les produits pour la vente,Valorisation,0,DEB,Débutant,0,4.5,"Présentation négligée, conditionnement non conforme"
GR_EAA66024,RNCP38762,EP2,CHO3.3,Présenter et conditionner les produits pour la vente,Valorisation,0,EXE,Exécution,5,9.5,"Présentation correcte, quelques manques de soin"
GR_381CAC26,RNCP38762,EP2,CHO3.3,Présenter et conditionner les produits pour la vente,Valorisation,0,OPE,Opérationnel,10,14.5,"Présentation soignée, conditionnement conforme"
GR_F5194CC1,RNCP38762,EP2,CHO3.3,Présenter et conditionner les produits pour la vente,Valorisation,0,EXC,Excellent,15,20.0,"Présentation de vitrine de luxe, conditionnement parfait, traçabilité"
GR_FF16CA96,RNCP38762,EP2,CHO3.4,Calculer les coûts et optimiser la production,Gestion,0,DEB,Débutant,0,4.5,Aucun calcul ou calcul erroné
GR_64A83E61,RNCP38762,EP2,CHO3.4,Calculer les coûts et optimiser la production,Gestion,0,EXE,Exécution,5,9.5,Calculs partiels
GR_047E425E,RNCP38762,EP2,CHO3.4,Calculer les coûts et optimiser la production,Gestion,0,OPE,Opérationnel,10,14.5,"Calculs corrects, optimisation réalisée"
GR_1DAF9D09,RNCP38762,EP2,CHO3.4,Calculer les coûts et optimiser la production,Gestion,0,EXC,Excellent,15,20.0,"Analyse experte, optimisation des rendements et des coûts"
GR_9C4FEAB0,RNCP38762,EP2,CHO3.5,Valoriser et argumenter la production auprès de la clientèle,Communication,0,DEB,Débutant,0,4.5,"Aucune argumentation, méconnaissance des produits"
GR_AAF7B9A8,RNCP38762,EP2,CHO3.5,Valoriser et argumenter la production auprès de la clientèle,Communication,0,EXE,Exécution,5,9.5,"Argumentation basique, vocabulaire limité"
GR_84383549,RNCP38762,EP2,CHO3.5,Valoriser et argumenter la production auprès de la clientèle,Communication,0,OPE,Opérationnel,10,14.5,"Argumentation correcte, connaît les produits et leurs caractéristiques"
GR_5AF21BBF,RNCP38762,EP2,CHO3.5,Valoriser et argumenter la production auprès de la clientèle,Communication,0,EXC,Excellent,15,20.0,"Argumentaire expert, histoire du chocolat maîtrisée, techniques de vente"
