grille_id,referentiel_id,epreuve,competence_code,competence,famille,niveau_code,niveau_libelle,note_min,note_max,indicateur,critique
GR_A3EB8F5F,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,DEB,Débutant,0,4.5,"Ne vérifie pas la livraison, nombreuses erreurs non détectées",0
GR_0E318F6F,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,EXE,Exécution,5,9.5,"Vérifie partiellement, quelques erreurs détectées mais démarche incomplète",0
GR_DA75331B,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,OPE,Opérationnel,10,14.5,"Vérifie conformément aux procédures, signale les anomalies",0
GR_B9141B37,RNCP38765,EP1,C1.1,Contrôler la livraison,Organisation,EXC,Excellent,15,20.0,"Contrôle rigoureux, propose des solutions en cas d'anomalie, anticipe",0
GR_B922967D,RNCP38765,EP1,C1.2,Réceptionner et stocker les produits,Organisation,DEB,Débutant,0,4.5,Stockage non conforme aux règles de conservation et d'hygiène,0
GR_F564F5B6,RNCP38765,EP1,C1.2,Réceptionner et stocker les produits,Organisation,EXE,Exécution,5,9.5,"Stockage globalement correct, quelques erreurs de rotation ou de température",0
GR_F6B43B4F,RNCP38765,EP1,C1.2,Réceptionner et stocker les produits,Organisation,OPE,Opérationnel,10,14.5,"Stockage conforme, respect des règles FIFO et des températures réglementaires",0
GR_FC102380,RNCP38765,EP1,C1.2,Réceptionner et stocker les produits,Organisation,EXC,Excellent,15,20.0,"Organisation optimale, traçabilité parfaite, anticipation des besoins",0
GR_9B35D1B8,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,DEB,Débutant,0,4.5,"Poste non organisé, manque de matériel, perte de temps importante",0
GR_060FED7A,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,EXE,Exécution,5,9.5,"Organisation partielle, quelques oublis, rythme lent",0
GR_FA6FEE9E,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,OPE,Opérationnel,10,14.5,"Poste organisé, matériel prêt, respect du timing",0
GR_B097E88E,RNCP38765,EP1,C2.1,Organiser son poste de travail,Organisation,EXC,Excellent,15,20.0,"Organisation exemplaire, anticipation totale, aucune perte de temps",0
GR_B01A6B82,RNCP38765,EP1,C2.6,Maintenir les locaux et matériels en bon état (CRITIQUE),Hygiène,DEB,Débutant,0,4.5,"BLOQUANT — Hygiène insuffisante, produit non commercialisable. Note < 10 automatique",1
GR_70C80427,RNCP38765,EP1,C2.6,Maintenir les locaux et matériels en bon état (CRITIQUE),Hygiène,EXE,Exécution,5,9.5,"Nettoyage partiel, quelques zones ou matériels négligés",1
GR_EEDE50FF,RNCP38765,EP1,C2.6,Maintenir les locaux et matériels en bon état (CRITIQUE),Hygiène,OPE,Opérationnel,10,14.5,Nettoyage et désinfection corrects tout au long de la fabrication,1
